bph0001;Siediti con la schiena più dritta possibile, concentrati e cerca di tenere le spalle rilassate.
bph0002;Il tuo sedere dovrebbe toccare lo schienale della tua sedia.
bph0003;Cerca di distribuire equamente il tuo peso su entrambi i fianchi.
bph0004;I piedi dovrebbero essere tenuti appoggiati sul pavimento.
bph0005;Mentre ti concentri su una parola posta all'altezza degli occhi e alla distanza del tuo braccio, gira la testa a sinistra e a destra cercando sempre di mantenere l'obiettivo a fuoco per 1 minuto.
bph0006;Mentre ti concentri sul tuo dito indice posto all'altezza degli occhi e alla distanza del braccio, gira sia la tua testa che la scheda a sinistra e a destra in direzioni opposte cercando sempre di mantenere l'obiettivo a fuoco. Prova a fare pratica per un minuto.
bph0007;Mentre ti concentri sul tuo dito indice posto all'altezza degli occhi e alla distanza delle tue braccia, muovi la testa su e giù cercando sempre di mantenere l'obiettivo a fuoco. Prova a fare pratica per 1 minuto.
bph0008;Muovi la testa in alto per guardare il soffitto e in basso per guardare il pavimento. Prova ad esercitarti per 1 minuto.
bph0009;Aumenta gradualmente la velocità man mano che l'esercizio diventa più facile, finché non sarai in grado di esercitarti a una velocità elevata.
bph0010;Cerca di mantenere la testa in posizione eretta, guardando dritto davanti a te. La tua testa non dovrebbe piegarsi in avanti o indietro nella posizione di partenza.
bph0011;L'obiettivo è quello di piegarsi come per raccogliere un oggetto dal pavimento e tornare in posizione eretta.
bph0012;L'obiettivo è quello di piegarsi lateralmente come per raccogliere un oggetto dal pavimento e tornare in posizione eretta.
bph0013;Mentre ti pieghi assicurati di portare il mento al petto e di riportare la testa alla normale posizione eretta mentre sali.
bph0014;Tieni i tuoi occhi chiusi.
bph0015;Tieni i tuoi occhi aperti
bph0016;Cerca di ripeterlo cinque volte.
bph0017;Ascolta le istruzioni e non iniziare l'esercizio prima di aver ascoltato le istruzioni e di avermi visto eseguire l'esercizio. Se in qualsiasi momento durante l'esercizio hai bisogno di fermarti, per favore dici "STOP".
bph0018;Stai in piedi con la testa e il busto in posizione eretta.
bph0019;Posizionare i piedi alla stessa larghezza delle anche con le dita dei piedi rivolte in avanti.
bph0020;Stai con i piedi vicini, se possibile, con i talloni e le punte dei piedi che si toccano.
bph0021;Per questo esercizio, cerca di mantenere l'equilibrio in questa posizione per un minuto.
bph0022;Non appena senti una pressione sulle dita dei piedi o sui talloni, ritorna alla posizione centrale con il peso sulla pianta del piede.
bph0023;Dopo aver agitato i piedi per attivare le solette a pressione, calpestare il cuscinetto di schiuma.
bph0024;Per questo esercizio, ti piegherai come per raccogliere un oggetto dal pavimento.
bph0025;Per questo esercizio, cercherai di allungare le braccia come per prendere un oggetto da un armadio.
bph0026;Cerca di inclinare leggermente la testa all'indietro mentre ti avvicini.
bph0027;Cerca di inclinare leggermente la testa all'indietro mentre ti avvicini. Appena arrivato, prova a sollevare i talloni dal pavimento.
bph0028;Per questo esercizio, girerai di 180 gradi per rivolgerti nella direzione opposta.
bph0029;Quando si gira a sinistra, inizia con il piede sinistro. Quando si gira a destra, inizia con il piede destro. Mentre giri, cerca di fare grandi passi, e tieni il tuo peso sopra la pianta del piede che è a terra.
bph0030;Cerca di non girare a vuoto.
bph0031;Cerca di eseguire 3 giri a sinistra e 3 giri a destra.
bph0032;Cammina attraverso la stanza cercando di guardare dritto davanti a te l'orizzonte, ma non fissare lo sguardo su nessun oggetto. Prova per un minuto.
bph0033;Cerca di evitare di guardare costantemente il pavimento.
bph0034;Cerca di assicurarti di spostare il tuo peso corporeo in avanti con ogni passo e cerca di includere il movimento delle braccia.
bph0035;Aumenta gradualmente la velocità di camminata man mano che l'esercizio diventa più facile.
bph0036;Cammina attraverso la stanza girando la testa a sinistra e a destra per guardare avanti e indietro tra i due obiettivi. Cerca di esercitarti per un minuto.
bph0037;Cammina attraverso la stanza girando la testa a sinistra e a destra per quanto possibile, controllando la stanza come quando si attraversa la strada. Prova a fare pratica per un minuto.
bph0038;Cammina attraverso la stanza muovendo la testa verso l'alto per guardare il soffitto e verso il basso per guardare il suolo. Cerca di esercitarti per un minuto.
bph0039;Cammina attraverso la stanza mentre pratichi i movimenti diagonali della testa a forma di V. Guarda in alto a sinistra, in basso al centro e in alto a destra. Puoi iniziare in entrambe le direzioni. Cerca di esercitarti per un minuto.
bph0040;La tua postura non è corretta. Permettimi di mostrartela di nuovo.
bph0041;Prova di nuovo, ma questa volta cerca di girare la testa più lentamente.
bph0042;Prova di nuovo, ma questa volta cerca di girare la testa più velocemente.
bph0043;Prova di nuovo, ma questa volta cerca di non girare la testa così tanto.
bph0044;Ti sei fermato troppo presto. Continua se puoi e ti farò sapere quando hai finito.
bph0045;Passiamo ora a un altro esercizio.
bph0046;Cerca di tenere i piedi appoggiati sul pavimento quando pratichi questo esercizio.
bph0047;Fermati. Il movimento non è corretto.
bph0048;Prova di nuovo, ma questa volta cerca di piegarti più lentamente.
bph0049;Prova di nuovo, ma questa volta cerca di piegarti più velocemente.
bph0050;La prossima volta cerca di riportare la testa in posizione verticale mentre sali.
bph0051;La prossima volta, quando ti pieghi, assicurati di portare il mento al petto.
bph0052;Mentre ti pieghi assicurati di portare il mento al petto e di riportare la testa alla normale posizione eretta mentre ti rialzi.
bph0053;Hai avuto una perdita di equilibrio.
bph0054;Questo è ok. Proviamo di nuovo.
bph0055;Ritorna alla posizione centrale con il peso sulla pianta del piede.
bph0056;Prova a completare le cinque ripetizioni.
bph0057;La prossima volta, quando alzi la mano, assicurarti di inclinare leggermente la testa all'indietro.
bph0058;Stai girando più di quanto indicato.
bph0059;Stai girando meno di quanto indicato.
bph0060;Cerca di guardare costantemente l'orizzonte e non il pavimento.
bph0061;Cerca di camminare più lentamente.
bph0062;Cerca di camminare più velocemente.
bph0063;Cerca di trasferire il peso del corpo in avanti ad ogni passo.
bph0064;Ti sei fermato troppo presto, prova a continuare l'esercizio.
bph0065;Prova a girare la testa a sinistra e a destra per guardare avanti e indietro tra i due obiettivi.
bph0066;Cerca di camminare con la parte superiore del corpo in posizione eretta, senza piegarti indietro o in avanti.
bph0067;Ti farò sapere quando avrai finito.
bph0068;Ti sei fermato troppo presto, continua l'esercizio. Ti farò sapere quando avrai finito.
bph0069;Ti sei fermato troppo presto.
bph0070;Cerca di continuare l'esercizio.
bph0071;Prova a muovere la testa in alto per guardare il soffitto e in basso per guardare il pavimento.
bph0072;Prova a fare un movimento diagonale della testa a forma di V.
bph0073;Provi vertigini? Rispondere sì o no
bph0074;Per favore, valuta le tue vertigini come lievi, moderate o gravi.
bph0075;Hai avuto la sensazione che girasse la stanza mentre facevi l'esercizio? Rispondere sì o no
bph0076;Grazie per avermelo fatto sapere, il tuo fisioterapista ti contatterà per discuterne più in dettaglio.
bph0077;Hai mal di testa? Rispondere sì o no
bph0078;Ti si è offuscata la vista mentre giravi la testa? Rispondere sì o no
bph0079;Ottimo impegno.
bph0080;Ottimo lavoro.
bph0081;Bel lavoro.
bph0082;Inizia.
bph0083;Fermati.
bph0084;Aspetta che ti chieda di iniziare.
bph0085;Ben fatto.
bph0086;Stai facendo buoni progressi. Ben fatto.
bph0087;Per favore dimmi, ti senti disorientato? Rispondere sì o no
bph0088;Sei pronto per passare a un altro esercizio? Rispondere sì o no
bph0089;Ti si è offuscata la vista mentre facevi l'esercizio? Rispondere sì o no
bph0090;Valuta le tue vertigini come lievi, moderate o gravi.
bph0091;Valuta il tuo mal di testa come lieve, moderato o grave.
bph0092;Valuta la tua vista offuscata come lieve, moderata o grave
bph0093;Riavvia il sistema seguendo le istruzioni del manuale.
bph0094;Scegli tra lieve, moderata o grave
bph0095;Agita i piedi per attivare le solette a pressione.
bph0096;Avvicinati al sistema in modo che i sensori si possano connetter.
bph0097;Carica i sensori della testa e della schiena.
bph0098;Carica le batterie delle solette.
bph0099;Non muoverti, in modo da poter iniziare l'esecizio.
bph0100;Sei pronto a passare ad un altro esercizio? Rispondere sì o no
bph0101;Hai qualche sintomo? Rispondere sì o no
bph0102;Sto cercando di connettermi con i sensori.
bph0103;Avvicinati all'Edge computer.
bph0104;Avvicinati alla fotocamera.
bph0105;Volta le spalle all'Edge computer.
bph0106;Ricarica i sensori e prova di nuovo.
bph0107;Ciao, spero che tu stia bene. Cominciamo. Ascolta le istruzioni e non iniziare l'esercizio finché non hai sentito le istruzioni e non mi hai visto eseguire l'esercizio. Se in qualsiasi momento durante l'esercizio hai bisogno di fermarti, per favore dì "STOP".
bph0108;Per oggi è tutto. Grazie mille per la tua collaborazione e buona giornata. Sono stato felice di essere stato d'aiuto.
bph0109;Non sono riuscito a collegarmi al sensore delle solette. Continua l'esercizio con attenzione.
bph0110;Valuta il tuo grado di frustrazione come assente, bassa, moderata o grave.